95.142.107.181: PING 95.142.107.181 (95.142.107.181): 56 data bytes
64 bytes from 95.142.107.181: icmp_seq=81 ttl=113 time=124.073 ms
64 bytes from 95.142.107.181: icmp_seq=82 ttl=113 time=123.348 ms
64 bytes from 95.142.107.181: icmp_seq=83 ttl=113 time=132.593 ms
64 bytes from 95.142.107.181: icmp_seq=84 ttl=113 time=129.597 ms
64 bytes from 95.142.107.181: icmp_seq=85 ttl=113 time=131.700 ms
64 bytes from 95.142.107.181: icmp_seq=86 ttl=113 time=132.186 ms
64 bytes from 95.142.107.181: icmp_seq=87 ttl=113 time=130.532 ms
64 bytes from 95.142.107.181: icmp_seq=88 ttl=113 time=132.303 ms
64 bytes from 95.142.107.181: icmp_seq=89 ttl=113 time=123.378 ms
64 bytes from 95.142.107.181: icmp_seq=90 ttl=113 time=132.234 ms
64 bytes from 95.142.107.181: icmp_seq=91 ttl=113 time=132.720 ms
64 bytes from 95.142.107.181: icmp_seq=92 ttl=113 time=123.778 ms
64 bytes from 95.142.107.181: icmp_seq=93 ttl=113 time=131.882 ms
64 bytes from 95.142.107.181: icmp_seq=94 ttl=113 time=126.256 ms
64 bytes from 95.142.107.181: icmp_seq=95 ttl=113 time=124.338 ms
64 bytes from 95.142.107.181: icmp_seq=96 ttl=113 time=128.566 ms
64 bytes from 95.142.107.181: icmp_seq=97 ttl=113 time=123.358 ms
64 bytes from 95.142.107.181: icmp_seq=98 ttl=113 time=123.915 ms
64 bytes from 95.142.107.181: icmp_seq=99 ttl=113 time=130.604 ms
64 bytes from 95.142.107.181: icmp_seq=100 ttl=113 time=124.809 ms
64 bytes from 95.142.107.181: icmp_seq=101 ttl=113 time=130.335 ms
64 bytes from 95.142.107.181: icmp_seq=102 ttl=113 time=131.736 ms
64 bytes from 95.142.107.181: icmp_seq=103 ttl=113 time=129.875 ms
64 bytes from 95.142.107.181: icmp_seq=104 ttl=113 time=127.108 ms
64 bytes from 95.142.107.181: icmp_seq=105 ttl=113 time=125.146 ms
64 bytes from 95.142.107.181: icmp_seq=106 ttl=113 time=124.508 ms
64 bytes from 95.142.107.181: icmp_seq=107 ttl=113 time=124.545 ms
64 bytes from 95.142.107.181: icmp_seq=108 ttl=113 time=124.521 ms
64 bytes from 95.142.107.181: icmp_seq=109 ttl=113 time=131.642 ms
64 bytes from 95.142.107.181: icmp_seq=110 ttl=113 time=130.991 ms
64 bytes from 95.142.107.181: icmp_seq=111 ttl=113 time=124.629 ms
64 bytes from 95.142.107.181: icmp_seq=112 ttl=113 time=127.667 ms
64 bytes from 95.142.107.181: icmp_seq=113 ttl=113 time=124.286 ms
64 bytes from 95.142.107.181: icmp_seq=114 ttl=113 time=127.438 ms
64 bytes from 95.142.107.181: icmp_seq=115 ttl=113 time=123.591 ms
64 bytes from 95.142.107.181: icmp_seq=116 ttl=113 time=132.460 ms
64 bytes from 95.142.107.181: icmp_seq=117 ttl=113 time=123.712 ms
64 bytes from 95.142.107.181: icmp_seq=118 ttl=113 time=130.625 ms
64 bytes from 95.142.107.181: icmp_seq=119 ttl=113 time=127.321 ms
64 bytes from 95.142.107.181: icmp_seq=120 ttl=113 time=126.938 ms
64 bytes from 95.142.107.181: icmp_seq=121 ttl=113 time=130.782 ms
64 bytes from 95.142.107.181: icmp_seq=122 ttl=113 time=126.620 ms
64 bytes from 95.142.107.181: icmp_seq=123 ttl=113 time=132.217 ms
64 bytes from 95.142.107.181: icmp_seq=124 ttl=113 time=131.447 ms
64 bytes from 95.142.107.181: icmp_seq=125 ttl=113 time=129.339 ms
64 bytes from 95.142.107.181: icmp_seq=126 ttl=113 time=132.346 ms
64 bytes from 95.142.107.181: icmp_seq=127 ttl=113 time=123.682 ms
64 bytes from 95.142.107.181: icmp_seq=128 ttl=113 time=132.228 ms
64 bytes from 95.142.107.181: icmp_seq=129 ttl=113 time=124.037 ms
64 bytes from 95.142.107.181: icmp_seq=130 ttl=113 time=132.613 ms
64 bytes from 95.142.107.181: icmp_seq=131 ttl=113 time=127.157 ms
64 bytes from 95.142.107.181: icmp_seq=132 ttl=113 time=123.865 ms
64 bytes from 95.142.107.181: icmp_seq=133 ttl=113 time=122.755 ms
64 bytes from 95.142.107.181: icmp_seq=134 ttl=113 time=124.149 ms
64 bytes from 95.142.107.181: icmp_seq=135 ttl=113 time=123.351 ms
64 bytes from 95.142.107.181: icmp_seq=136 ttl=113 time=133.082 ms
64 bytes from 95.142.107.181: icmp_seq=137 ttl=113 time=123.558 ms
64 bytes from 95.142.107.181: icmp_seq=138 ttl=113 time=124.805 ms
64 bytes from 95.142.107.181: icmp_seq=139 ttl=113 time=134.251 ms
64 bytes from 95.142.107.181: icmp_seq=140 ttl=113 time=130.416 ms
64 bytes from 95.142.107.181: icmp_seq=141 ttl=113 time=132.339 ms
64 bytes from 95.142.107.181: icmp_seq=142 ttl=113 time=124.055 ms
64 bytes from 95.142.107.181: icmp_seq=143 ttl=113 time=123.129 ms
64 bytes from 95.142.107.181: icmp_seq=144 ttl=113 time=132.332 ms
64 bytes from 95.142.107.181: icmp_seq=145 ttl=113 time=131.473 ms
64 bytes from 95.142.107.181: icmp_seq=146 ttl=113 time=123.682 ms
64 bytes from 95.142.107.181: icmp_seq=147 ttl=113 time=130.062 ms
64 bytes from 95.142.107.181: icmp_seq=148 ttl=113 time=132.097 ms
64 bytes from 95.142.107.181: icmp_seq=149 ttl=113 time=133.206 ms
64 bytes from 95.142.107.181: icmp_seq=150 ttl=113 time=130.086 ms
64 bytes from 95.142.107.181: icmp_seq=151 ttl=113 time=130.580 ms
64 bytes from 95.142.107.181: icmp_seq=152 ttl=113 time=123.696 ms
64 bytes from 95.142.107.181: icmp_seq=153 ttl=113 time=124.227 ms
64 bytes from 95.142.107.181: icmp_seq=154 ttl=113 time=130.467 ms
64 bytes from 95.142.107.181: icmp_seq=155 ttl=113 time=124.235 ms
64 bytes from 95.142.107.181: icmp_seq=156 ttl=113 time=124.087 ms
64 bytes from 95.142.107.181: icmp_seq=157 ttl=113 time=125.133 ms
64 bytes from 95.142.107.181: icmp_seq=158 ttl=113 time=130.854 ms
64 bytes from 95.142.107.181: icmp_seq=159 ttl=113 time=132.034 ms
64 bytes from 95.142.107.181: icmp_seq=160 ttl=113 time=131.815 ms
64 bytes from 95.142.107.181: icmp_seq=161 ttl=113 time=127.166 ms
64 bytes from 95.142.107.181: icmp_seq=162 ttl=113 time=123.926 ms
64 bytes from 95.142.107.181: icmp_seq=163 ttl=113 time=124.418 ms
64 bytes from 95.142.107.181: icmp_seq=164 ttl=113 time=124.782 ms
64 bytes from 95.142.107.181: icmp_seq=165 ttl=113 time=124.408 ms
64 bytes from 95.142.107.181: icmp_seq=166 ttl=113 time=127.242 ms
64 bytes from 95.142.107.181: icmp_seq=167 ttl=113 time=131.975 ms
64 bytes from 95.142.107.181: icmp_seq=168 ttl=113 time=132.104 ms
64 bytes from 95.142.107.181: icmp_seq=169 ttl=113 time=129.481 ms
64 bytes from 95.142.107.181: icmp_seq=170 ttl=113 time=123.535 ms
64 bytes from 95.142.107.181: icmp_seq=171 ttl=113 time=126.657 ms
64 bytes from 95.142.107.181: icmp_seq=172 ttl=113 time=124.417 ms
64 bytes from 95.142.107.181: icmp_seq=173 ttl=113 time=122.882 ms
64 bytes from 95.142.107.181: icmp_seq=174 ttl=113 time=131.665 ms
64 bytes from 95.142.107.181: icmp_seq=175 ttl=113 time=123.808 ms
64 bytes from 95.142.107.181: icmp_seq=176 ttl=113 time=126.810 ms
64 bytes from 95.142.107.181: icmp_seq=177 ttl=113 time=131.459 ms
64 bytes from 95.142.107.181: icmp_seq=178 ttl=113 time=132.365 ms
64 bytes from 95.142.107.181: icmp_seq=179 ttl=113 time=131.666 ms
64 bytes from 95.142.107.181: icmp_seq=180 ttl=113 time=131.783 ms
64 bytes from 95.142.107.181: icmp_seq=181 ttl=113 time=129.544 ms
64 bytes from 95.142.107.181: icmp_seq=182 ttl=113 time=130.948 ms
64 bytes from 95.142.107.181: icmp_seq=183 ttl=113 time=123.355 ms
64 bytes from 95.142.107.181: icmp_seq=184 ttl=113 time=133.417 ms
64 bytes from 95.142.107.181: icmp_seq=185 ttl=113 time=131.683 ms
64 bytes from 95.142.107.181: icmp_seq=186 ttl=113 time=127.854 ms
64 bytes from 95.142.107.181: icmp_seq=187 ttl=113 time=124.895 ms
64 bytes from 95.142.107.181: icmp_seq=188 ttl=113 time=131.028 ms
64 bytes from 95.142.107.181: icmp_seq=189 ttl=113 time=129.958 ms
64 bytes from 95.142.107.181: icmp_seq=190 ttl=113 time=131.566 ms
64 bytes from 95.142.107.181: icmp_seq=191 ttl=113 time=126.099 ms
64 bytes from 95.142.107.181: icmp_seq=192 ttl=113 time=124.956 ms
64 bytes from 95.142.107.181: icmp_seq=193 ttl=113 time=123.414 ms
64 bytes from 95.142.107.181: icmp_seq=194 ttl=113 time=124.647 ms
64 bytes from 95.142.107.181: icmp_seq=195 ttl=113 time=122.577 ms
64 bytes from 95.142.107.181: icmp_seq=196 ttl=113 time=123.645 ms
64 bytes from 95.142.107.181: icmp_seq=197 ttl=113 time=126.541 ms
64 bytes from 95.142.107.181: icmp_seq=198 ttl=113 time=122.964 ms
64 bytes from 95.142.107.181: icmp_seq=199 ttl=113 time=132.329 ms

--- 95.142.107.181 ping statistics ---
200 packets transmitted, 200 packets received, 0.0% packet loss
round-trip min/avg/max/stddev = 122.577/128.135/134.251/3.658 ms
